,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
0,Nhà,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 14,"Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Tp Hồ Chí Minh","6,9 tỷ",11/05/2021,33m²,,,4,3,Đã có sổ,Đăng nhập để xem,
1,Đất,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh","3,6 tỷ",11/05/2021,95m²,,,,,Đã có sổ,Đăng nhập để xem,
2,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",17 triệu/tháng,11/05/2021,106m²,,,3,2,Đã có sổ,Đăng nhập để xem,
3,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Sơn,"Đường Kênh An Hạ, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",595 triệu,11/05/2021,104m²,,,8,,Đã có sổ,Đăng nhập để xem,
4,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,"1074, Đường Tỉnh Lộ 10, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",6 triệu/tháng,11/05/2021,30m²,,,2,3,,Đăng nhập để xem,
5,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 10,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","4,75 tỷ",11/05/2021,56m²,Đông Nam,3,3,3,Đã có sổ,Đăng nhập để xem,
6,Đất,Cần bán,Đà Nẵng,Quận Liên Chiểu,Phường Hòa Khánh Nam,"191, Nam cao, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","2,3 tỷ",11/05/2021,102m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
7,Nhà,Cần bán,Hồ Chí Minh,Quận 5,Phường 1,"Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh",6 tỷ,11/05/2021,30m²,,,2,1,Đã có sổ,Đăng nhập để xem,
8,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Thống Nhất,"Đường Nguyễn Văn Hoa, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1,53 tỷ",11/05/2021,78m²,,,2,2,Đã có sổ,Đăng nhập để xem,
9,Nhà,Cần bán,Bình Dương,Huyện Bàu Bàng,Xã Trừ Văn Thố,"Đường Thanh Niên 3, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",500 triệu,11/05/2021,100m²,,,2,2,Đã có sổ,Đăng nhập để xem,
10,Nhà,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,"Đường Cây Bài, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","1,9 tỷ",11/05/2021,125m²,,,2,1,Đã có sổ,Đăng nhập để xem,
11,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","5,5 tỷ",11/05/2021,58m²,,,2,,,Đăng nhập để xem,
12,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 7,"Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",38 triệu/tháng,11/05/2021,135m²,,1,4,3,Đã có sổ,Đăng nhập để xem,
13,Đất,Cần bán,Kon Tum,Huyện Đắk Hà,Thị trấn Đắk Hà,"Đường Hùng Vương, Thị trấn Đắk Hà, Huyện Đắk Hà, Kon Tum",470 triệu,11/05/2021,170m²,,,,,,Đăng nhập để xem,
14,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,"Đường 1A, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","1,6 tỷ",11/05/2021,48m²,,1,2,2,Giấy tờ khác,Đăng nhập để xem,
15,Đất,Cần bán,Đà Nẵng,Quận Ngũ Hành Sơn,Phường Hoà Hải,"Đường Trường Sa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","1,4 tỷ",11/05/2021,85m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
16,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh","2,5 tỷ",11/05/2021,51m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
17,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Trường Thạnh,"Đường Tam Đa, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh","2,75 tỷ",11/05/2021,56m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
18,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Tiến,"HẺM 40 DƯƠNG VĂN NGA, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk","1,83 tỷ",11/05/2021,105m²,Đông,,2,1,Đã có sổ,Đăng nhập để xem,
19,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,"Mũi tàu Nguyễn Thị Minh Khai, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","1,5 tỷ",11/05/2021,50m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
20,Đất,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình Trưng Đông,"Đường 42, Phường Bình Trưng Đông, Quận 2, Tp Hồ Chí Minh","7,5 tỷ",11/05/2021,112m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
21,Đất,Cần bán,Khánh Hòa,Thành phố Cam Ranh,Phường Cam Nghĩa,"Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Thành phố Cam Ranh, Khánh Hòa","1,49 tỷ",11/05/2021,108m²,,,,,Đang chờ sổ,Đăng nhập để xem,
22,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,"Đường Thống Nhất, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","1,2 tỷ",11/05/2021,62m²,,,3,2,Đã có sổ,Đăng nhập để xem,
23,Đất,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,"đường liên khu4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",3 tỷ,11/05/2021,56m²,,,,,Đang chờ sổ,Đăng nhập để xem,
